imgName,faces,leftEarCorner,leftEarRoot,leftEye,rightEye,rightEarRoot,rightEarCorner,Nose,Mouth
./dataset/set8/CIMG2269_-_SHEEP_#1.jpg,"[[120, 24, 1004, 876]]","[[137, 65]]","[[385, 221]]","[[393, 281]]","[[859, 287]]","[[870, 226]]","[[1115, 125]]","[[726, 746]]","[[721, 825]]"
./dataset/set8/CIMG2454_-_SHEEP_#24.jpg,"[[425, 261, 489, 420]]","[[434, 297]]","[[552, 314]]","[[552, 394]]","[[782, 386]]","[[798, 316]]","[[900, 305]]","[[665, 624]]","[[668, 660]]"
./dataset/set8/CIMG2458_-_SHEEP_#27.jpg,"[[395, 197, 722, 649]]","[[409, 303]]","[[602, 407]]","[[627, 482]]","[[924, 482]]","[[950, 382]]","[[1102, 221]]","[[759, 770]]","[[763, 824]]"
./dataset/set8/CIMG2465_-_SHEEP_#29.jpg,"[[579, 159, 365, 433]]","[[601, 134]]","[[620, 273]]","[[612, 335]]","[[803, 348]]","[[816, 304]]","[[933, 240]]","[[690, 542]]","[[691, 569]]"
./dataset/set8/CIMG2485_-_SHEEP_#28.jpg,"[[429, 243, 600, 532]]","[[441, 323]]","[[589, 370]]","[[588, 440]]","[[839, 439]]","[[869, 365]]","[[1019, 254]]","[[682, 715]]","[[688, 751]]"
./dataset/set8/CIMG2540_-_SHEEP_#22.jpg,"[[294, 145, 552, 643]]","[[310, 297]]","[[351, 363]]","[[468, 410]]","[[695, 349]]","[[646, 281]]","[[818, 161]]","[[834, 648]]","[[823, 703]]"
./dataset/set8/CIMG2565_-_SHEEP_#23.jpg,"[[441, 64, 737, 787]]","[[463, 76]]","[[651, 248]]","[[601, 364]]","[[949, 430]]","[[1033, 310]]","[[1155, 204]]","[[623, 742]]","[[626, 802]]"
./dataset/set8/CIMG2811_-_SHEEP_#29.jpg,"[[236, 200, 476, 497]]","[[248, 300]]","[[332, 361]]","[[391, 415]]","[[610, 359]]","[[581, 278]]","[[704, 214]]","[[643, 644]]","[[637, 669]]"
./dataset/set8/CIMG2840_-_SHEEP_#23.jpg,"[[436, 69, 805, 854]]","[[544, 22]]","[[597, 249]]","[[526, 365]]","[[894, 464]]","[[971, 361]]","[[1219, 267]]","[[512, 829]]","[[513, 898]]"
./dataset/set8/CIMG2913_-_TOE_ABSCESS_SHEEP.jpg,"[[176, 351, 400, 310]]","[[184, 477]]","[[283, 424]]","[[291, 431]]","[[441, 430]]","[[467, 415]]","[[570, 457]]","[[351, 646]]","[[354, 655]]"
