imgName,faces,leftEarCorner,leftEarRoot,leftEye,rightEye,rightEarRoot,rightEarCorner,Nose,Mouth
./dataset/set12/CIMG2129_-_SHEEP_#19.jpg,"[[285, 155, 821, 690]]","[[295, 248]]","[[475, 305]]","[[504, 381]]","[[906, 338]]","[[891, 255]]","[[1093, 181]]","[[828, 735]]","[[825, 788]]"
./dataset/set12/CIMG2156_-_SHEEP_#20.jpg,"[[443, 2, 799, 804]]","[[454, 3]]","[[572, 182]]","[[545, 329]]","[[920, 374]]","[[994, 272]]","[[1234, 180]]","[[639, 715]]","[[647, 769]]"
./dataset/set12/CIMG2476_-_SHEEP_#25.jpg,"[[197, 17, 1123, 962]]","[[202, 252]]","[[510, 306]]","[[544, 401]]","[[1017, 388]]","[[1001, 238]]","[[1316, 26]]","[[825, 890]]","[[826, 946]]"
./dataset/set12/CIMG2545_-_SHEEP_#22.jpg,"[[559, 156, 505, 496]]","[[564, 273]]","[[640, 282]]","[[698, 347]]","[[917, 304]]","[[894, 238]]","[[1044, 172]]","[[955, 573]]","[[945, 608]]"
./dataset/set12/CIMG2901_-_SHEEP_#1.jpg,"[[188, 266, 402, 365]]","[[200, 404]]","[[303, 347]]","[[320, 317]]","[[521, 337]]","[[546, 366]]","[[561, 463]]","[[371, 566]]","[[372, 611]]"
./dataset/set12/CIMG3472_-_SHEEP_#40.jpg,"[[346, 305, 481, 396]]","[[350, 331]]","[[473, 393]]","[[467, 432]]","[[683, 427]]","[[700, 402]]","[[818, 331]]","[[528, 617]]","[[532, 664]]"
./dataset/set12/CIMG3718_-_SHEEP_#_32.jpg,"[[336, 171, 681, 610]]","[[350, 228]]","[[518, 325]]","[[560, 352]]","[[874, 321]]","[[863, 275]]","[[1005, 190]]","[[899, 680]]","[[882, 734]]"
./dataset/set12/CIMG3731_-_SHEEP_#_39.jpg,"[[411, 332, 414, 365]]","[[418, 344]]","[[517, 410]]","[[522, 449]]","[[708, 441]]","[[724, 413]]","[[813, 358]]","[[582, 647]]","[[590, 678]]"
./dataset/set12/CIMG3766_-_SHEEP_#_37.jpg,"[[434, 166, 541, 484]]","[[446, 332]]","[[559, 359]]","[[571, 347]]","[[804, 333]]","[[817, 298]]","[[962, 178]]","[[681, 593]]","[[684, 628]]"
./dataset/set12/CIMG4833_-_SHEEP_#16.jpg,"[[628, 257, 261, 250]]","[[634, 281]]","[[702, 305]]","[[700, 327]]","[[816, 333]]","[[842, 319]]","[[884, 310]]","[[693, 466]]","[[698, 489]]"
