imgName,faces,leftEarCorner,leftEarRoot,leftEye,rightEye,rightEarRoot,rightEarCorner,Nose,Mouth
./dataset/set17/CIMG3447_-_SHEEP_#37.jpg,"[[422, 421, 394, 380]]","[[428, 433]]","[[530, 506]]","[[520, 555]]","[[689, 576]]","[[717, 528]]","[[807, 490]]","[[545, 770]]","[[549, 792]]"
./dataset/set17/CIMG3482_-_SHEEP_#31.jpg,"[[253, 186, 556, 500]]","[[501, 181]]","[[512, 294]]","[[446, 354]]","[[577, 420]]","[[677, 364]]","[[801, 305]]","[[300, 619]]","[[318, 656]]"
./dataset/set17/CIMG3756_-_SHEEP_#_40.jpg,"[[421, 438, 409, 399]]","[[429, 450]]","[[506, 540]]","[[509, 586]]","[[696, 607]]","[[718, 578]]","[[819, 521]]","[[568, 760]]","[[568, 799]]"
./dataset/set17/CIMG4362_-_SHEEP_#4.jpg,"[[316, 113, 753, 789]]","[[333, 194]]","[[511, 209]]","[[515, 313]]","[[800, 354]]","[[917, 247]]","[[1027, 235]]","[[494, 844]]","[[535, 883]]"
./dataset/set17/CIMG4841_-_SHEEP_#17.jpg,"[[357, 205, 411, 438]]","[[354, 281]]","[[491, 355]]","[[536, 366]]","[[728, 358]]","[[698, 302]]","[[677, 200]]","[[683, 579]]","[[684, 611]]"
./dataset/set17/CIMG4889.jpg,"[[464, 215, 574, 459]]","[[474, 242]]","[[626, 290]]","[[629, 332]]","[[874, 305]]","[[890, 276]]","[[1026, 245]]","[[730, 624]]","[[742, 659]]"
./dataset/set17/CIMG5229_-_SHEEP_#19.jpg,"[[523, 312, 275, 268]]","[[528, 344]]","[[579, 378]]","[[606, 391]]","[[753, 386]]","[[733, 355]]","[[747, 307]]","[[771, 516]]","[[765, 550]]"
./dataset/set17/CIMG5878_-_SHEEP_#_34.jpg,"[[130, 350, 297, 243]]","[[137, 386]]","[[224, 428]]","[[243, 447]]","[[362, 431]]","[[358, 407]]","[[418, 357]]","[[345, 553]]","[[343, 574]]"
./dataset/set17/CIMG5942_-_SHEEP_#_41.jpg,"[[160, 300, 607, 542]]","[[174, 315]]","[[333, 382]]","[[317, 448]]","[[577, 502]]","[[612, 441]]","[[759, 417]]","[[339, 769]]","[[338, 817]]"
./dataset/set17/DC_3313  - SHEEP #22.jpg,"[[436, 266, 439, 457]]","[[473, 276]]","[[506, 341]]","[[482, 408]]","[[664, 414]]","[[741, 380]]","[[870, 288]]","[[490, 683]]","[[509, 711]]"
