imgName,faces,leftEarCorner,leftEarRoot,leftEye,rightEye,rightEarRoot,rightEarCorner,Nose,Mouth
./training_data/set10/1aax8.jpg,"[[249, 22, 108, 86]]","[[254, 33]]","[[278, 40]]","[[283, 53]]","[[326, 52]]","[[333, 46]]","[[355, 38]]","[[303, 87]]","[[303, 95]]"
./training_data/set10/Five-Sheep.jpg,"[[633, 194, 102, 91], [865, 199, 89, 84], [461, 275, 97, 77]]","[[636, 209], [870, 213], [467, 285]]","[[657, 218], [889, 225], [487, 293]]","[[663, 230], [892, 235], [490, 302]]","[[707, 229], [932, 236], [534, 302]]","[[716, 218], [935, 225], [540, 293]]","[[732, 204], [951, 211], [552, 282]]","[[682, 255], [909, 260], [510, 328]]","[[683, 268], [910, 270], [512, 340]]"
./training_data/set10/Screen2.jpg,"[[476, 120, 701, 568]]","[[483, 160]]","[[670, 221]]","[[676, 267]]","[[955, 279]]","[[987, 236]]","[[1171, 149]]","[[783, 596]]","[[786, 648]]"
./training_data/set10/Sheep%2B1.jpg,"[[328, 185, 207, 188]]","[[337, 195]]","[[372, 228]]","[[377, 247]]","[[483, 250]]","[[492, 229]]","[[527, 198]]","[[430, 339]]","[[429, 357]]"
./training_data/set10/sheep_lambs.jpg,"[[492, 87, 191, 151], [154, 134, 151, 124]]","[[494, 96], [158, 137]]","[[529, 127], [178, 166]]","[[536, 137], [184, 180]]","[[617, 137], [253, 182]]","[[634, 128], [269, 169]]","[[684, 90], [303, 140]]","[[562, 199], [206, 234]]","[[564, 215], [208, 246]]"
./training_data/set10/sheeps.jpg,"[[190, 12, 100, 91]]","[[194, 25]]","[[214, 36]]","[[219, 45]]","[[261, 48]]","[[268, 38]]","[[285, 26]]","[[241, 82]]","[[242, 89]]"
./training_data/set10/SWhAdDNLMG5zdGFuVGlWepdvNYN0Phg3o9qHJadjruQ-ERwfs1CBNRfJrGtPhtBpZn_r8acjQpleE2oNN7KVi2_JLCYqekUcCqXPgdF2GoLl02xE0vTZ7MYhvcttm1BV.jpg,"[[38, 35, 188, 159]]","[[42, 118]]","[[91, 109]]","[[103, 130]]","[[180, 118]]","[[184, 90]]","[[217, 40]]","[[149, 168]]","[[151, 179]]"
./training_data/set10/Texel%20Sheep%20on%20Spout%20House%20Farm%20compressed.jpg,"[[703, 473, 148, 127], [281, 283, 101, 85]]","[[706, 492], [286, 294]]","[[729, 502], [308, 302]]","[[738, 511], [313, 312]]","[[802, 519], [354, 314]]","[[809, 508], [358, 307]]","[[847, 505], [379, 297]]","[[783, 576], [334, 351]]","[[781, 589], [334, 358]]"
./training_data/set10/three_sheep_scotland_3236x2082.jpg,"[[878, 340, 91, 83], [76, 423, 95, 69], [467, 370, 81, 83]]","[[881, 353], [79, 432], [473, 379]]","[[903, 369], [100, 442], [492, 394]]","[[905, 377], [105, 449], [493, 404]]","[[943, 378], [144, 447], [528, 402]]","[[949, 371], [150, 441], [534, 391]]","[[971, 351], [167, 429], [546, 376]]","[[920, 406], [124, 480], [505, 438]]","[[923, 411], [125, 487], [508, 444]]"
./training_data/set10/Welsh_Sheep.jpg,"[[255, 105, 83, 63]]","[[260, 112]]","[[276, 122]]","[[281, 124]]","[[317, 125]]","[[324, 122]]","[[336, 111]]","[[295, 152]]","[[295, 160]]"
