imgName,faces,leftEarCorner,leftEarRoot,leftEye,rightEye,rightEarRoot,rightEarCorner,Nose,Mouth
./dataset/set21/CIMG1281.jpg,"[[455, 244, 413, 370]]","[[463, 271]]","[[558, 329]]","[[565, 344]]","[[743, 361]]","[[755, 338]]","[[862, 303]]","[[678, 567]]","[[675, 598]]"
./dataset/set21/CIMG1335.jpg,"[[259, 220, 793, 548]]","[[268, 317]]","[[472, 413]]","[[513, 417]]","[[851, 385]]","[[852, 341]]","[[1037, 247]]","[[799, 678]]","[[801, 720]]"
./dataset/set21/CIMG1338.jpg,"[[301, 233, 687, 567]]","[[317, 248]]","[[361, 390]]","[[383, 437]]","[[733, 445]]","[[788, 455]]","[[971, 264]]","[[470, 637]]","[[471, 707]]"
./dataset/set21/CIMG1405_-_SHEEP_#3.jpg,"[[256, 169, 796, 658]]","[[264, 185]]","[[455, 314]]","[[504, 399]]","[[822, 367]]","[[859, 329]]","[[1049, 261]]","[[664, 743]]","[[675, 791]]"
./dataset/set21/CIMG1500_-_SHEEP_#2.jpg,"[[381, 219, 556, 398]]","[[389, 339]]","[[550, 342]]","[[573, 346]]","[[760, 315]]","[[807, 299]]","[[928, 246]]","[[658, 550]]","[[671, 595]]"
./dataset/set21/CIMG1534_-_SHEEP_#5.jpg,"[[9, 190, 1092, 802]]","[[12, 326]]","[[384, 381]]","[[441, 358]]","[[834, 342]]","[[841, 368]]","[[1086, 268]]","[[849, 923]]","[[841, 970]]"
./dataset/set21/CIMG2642.jpg,"[[338, 158, 681, 637]]","[[394, 178]]","[[570, 303]]","[[543, 328]]","[[789, 422]]","[[892, 423]]","[[1005, 341]]","[[368, 663]]","[[374, 729]]"
./dataset/set21/CIMG4383_-_SHEEP_#6.jpg,"[[444, 264, 569, 432]]","[[454, 353]]","[[624, 350]]","[[634, 382]]","[[832, 389]]","[[873, 356]]","[[1007, 387]]","[[704, 657]]","[[708, 681]]"
./dataset/set21/CIMG4618__-_SHEEP_#1.jpg,"[[213, 457, 430, 365]]","[[219, 489]]","[[322, 525]]","[[334, 549]]","[[510, 551]]","[[538, 529]]","[[627, 474]]","[[377, 771]]","[[387, 798]]"
./dataset/set21/CIMG6002_-_SHEEP_#8.jpg,"[[441, 153, 423, 392]]","[[450, 176]]","[[552, 254]]","[[599, 276]]","[[772, 297]]","[[778, 264]]","[[853, 223]]","[[757, 484]]","[[745, 514]]"
