imgName,faces,leftEarCorner,leftEarRoot,leftEye,rightEye,rightEarRoot,rightEarCorner,Nose,Mouth
./training_data/set1/Icelandic_sheep_summer_06.jpg,"[[182, 152, 300, 250]]","[[195, 162]]","[[240, 206]]","[[244, 235]]","[[397, 236]]","[[408, 209]]","[[472, 156]]","[[317, 341]]","[[314, 379]]"
./training_data/set1/im1.jpg,"[[13, 7, 232, 164]]","[[12, 11]]","[[71, 30]]","[[75, 52]]","[[164, 70]]","[[186, 62]]","[[246, 64]]","[[74, 145]]","[[72, 164]]"
./training_data/set1/image11.jpg,"[[7, 6, 259, 167]]","[[13, 48]]","[[75, 53]]","[[92, 61]]","[[190, 59]]","[[203, 52]]","[[263, 48]]","[[137, 133]]","[[137, 155]]"
./training_data/set1/images.jpg,"[[56, 26, 204, 147]]","[[60, 62]]","[[105, 67]]","[[119, 71]]","[[194, 68]]","[[210, 59]]","[[255, 40]]","[[160, 139]]","[[163, 160]]"
./training_data/set1/img2004-10-27-084420.jpg,"[[255, 262, 82, 65], [458, 303, 68, 55]]","[[260, 273], [462, 315]]","[[275, 276], [475, 316]]","[[281, 286], [480, 327]]","[[313, 288], [505, 326]]","[[320, 280], [512, 319]]","[[334, 276], [524, 319]]","[[297, 304], [491, 340]]","[[297, 313], [492, 350]]"
./training_data/set1/IMG_0349.jpg,"[[9, 357, 158, 131], [737, 210, 164, 118], [1106, 136, 131, 111]]","[[5, 398], [743, 239], [1118, 147]]","[[35, 399], [781, 249], [1129, 161]]","[[45, 406], [791, 252], [1133, 172]]","[[108, 400], [854, 249], [1188, 167]]","[[123, 390], [873, 243], [1207, 158]]","[[163, 376], [899, 216], [1233, 143]]","[[72, 460], [820, 295], [1153, 215]]","[[73, 475], [821, 311], [1154, 227]]"
./training_data/set1/islay-cheviot-sheep.jpg,"[[40, 87, 61, 66], [250, 9, 80, 95]]","[[45, 94], [256, 16]]","[[58, 111], [267, 38]]","[[60, 124], [269, 49]]","[[83, 123], [307, 48]]","[[88, 113], [312, 40]]","[[99, 93], [326, 18]]","[[71, 142], [288, 89]]","[[72, 146], [287, 97]]"
./training_data/set1/leicesterlongwool.jpg,"[[12, 21, 97, 73]]","[[17, 32]]","[[37, 31]]","[[42, 37]]","[[82, 40]]","[[89, 37]]","[[107, 35]]","[[55, 74]]","[[55, 81]]"
./training_data/set1/Lleyn_sheep.jpg,"[[595, 103, 218, 165]]","[[599, 127]]","[[644, 135]]","[[655, 150]]","[[747, 151]]","[[753, 133]]","[[801, 116]]","[[715, 227]]","[[716, 245]]"
./training_data/set1/Lleyn_sheep_350.jpg,"[[33, 57, 70, 51], [173, 59, 59, 48]]","[[39, 64], [173, 64]]","[[54, 68], [186, 69]]","[[57, 77], [190, 80]]","[[82, 77], [213, 79]]","[[88, 71], [217, 74]]","[[101, 67], [230, 69]]","[[64, 97], [201, 94]]","[[65, 103], [202, 101]]"
