imgName,faces,leftEarCorner,leftEarRoot,leftEye,rightEye,rightEarRoot,rightEarCorner,Nose,Mouth
./dataset/set32/CIMG1776_-_SHEEP_#9.jpg,"[[556, 89, 575, 652]]","[[565, 132]]","[[684, 259]]","[[720, 301]]","[[1050, 287]]","[[1050, 211]]","[[1130, 99]]","[[962, 637]]","[[957, 696]]"
./dataset/set32/CIMG1832_-_SHEEP_#5.jpg,"[[361, 55, 897, 823]]","[[376, 77]]","[[565, 290]]","[[592, 381]]","[[1019, 384]]","[[1019, 296]]","[[1259, 148]]","[[853, 822]]","[[853, 880]]"
./dataset/set32/CIMG3092_-_SHEEP_#5.jpg,"[[409, 237, 650, 516]]","[[423, 258]]","[[592, 317]]","[[588, 369]]","[[837, 425]]","[[865, 385]]","[[1049, 415]]","[[602, 704]]","[[606, 731]]"
./dataset/set32/CIMG3097_-_SHEEP_#1.jpg,"[[321, 269, 518, 516]]","[[318, 306]]","[[493, 363]]","[[510, 392]]","[[774, 402]]","[[786, 353]]","[[808, 261]]","[[659, 727]]","[[657, 763]]"
./dataset/set32/CIMG3197_-_SHEEP_#1.jpg,"[[581, 225, 384, 283]]","[[578, 265]]","[[681, 290]]","[[684, 306]]","[[855, 296]]","[[880, 290]]","[[963, 248]]","[[756, 446]]","[[759, 479]]"
./dataset/set32/CIMG3220_-_SHEEP_#4.jpg,"[[512, 296, 572, 467]]","[[496, 378]]","[[648, 395]]","[[670, 451]]","[[915, 431]]","[[921, 372]]","[[1083, 338]]","[[833, 702]]","[[833, 740]]"
./dataset/set32/CIMG3364_-_SHEEP_#_4.jpg,"[[613, 348, 239, 216]]","[[614, 360]]","[[670, 395]]","[[675, 415]]","[[788, 415]]","[[801, 390]]","[[851, 361]]","[[730, 526]]","[[732, 547]]"
./dataset/set32/CIMG3373_-_SHEEP_#_6.jpg,"[[326, 226, 645, 460]]","[[328, 322]]","[[513, 331]]","[[529, 315]]","[[768, 344]]","[[782, 371]]","[[971, 403]]","[[604, 622]]","[[601, 657]]"
./dataset/set32/CIMG4655__-_SHEEP_#7.jpg,"[[444, 245, 390, 265]]","[[449, 275]]","[[535, 312]]","[[549, 310]]","[[719, 322]]","[[742, 316]]","[[833, 277]]","[[635, 450]]","[[634, 481]]"
./dataset/set32/CIMG5058_-_SHEEP_#2.jpg,"[[475, 307, 309, 279]]","[[478, 328]]","[[555, 368]]","[[558, 394]]","[[693, 391]]","[[708, 361]]","[[773, 323]]","[[611, 552]]","[[614, 573]]"
