imgName,faces,leftEarCorner,leftEarRoot,leftEye,rightEye,rightEarRoot,rightEarCorner,Nose,Mouth
./training_data/set5/a%20sheep.jpg,"[[3, 78, 487, 313]]","[[13, 113]]","[[114, 120]]","[[150, 137]]","[[338, 136]]","[[379, 140]]","[[476, 114]]","[[250, 264]]","[[246, 308]]"
./training_data/set5/bell+sheep+4.jpg,"[[322, 118, 138, 81]]","[[328, 130]]","[[364, 135]]","[[369, 143]]","[[414, 141]]","[[424, 135]]","[[455, 126]]","[[394, 175]]","[[393, 185]]"
./training_data/set5/dsc02610.jpg,"[[605, 299, 469, 337]]","[[620, 363]]","[[722, 370]]","[[747, 392]]","[[925, 381]]","[[955, 348]]","[[1059, 322]]","[[843, 551]]","[[843, 592]]"
./training_data/set5/hello-sheep.jpg,"[[438, 198, 109, 92], [546, 215, 99, 69], [618, 185, 94, 69]]","[[444, 211], [550, 223], [621, 194]]","[[463, 211], [568, 227], [639, 200]]","[[466, 224], [575, 236], [649, 210]]","[[515, 222], [616, 234], [683, 209]]","[[519, 213], [622, 228], [691, 203]]","[[542, 207], [642, 219], [708, 198]]","[[499, 263], [598, 258], [666, 233]]","[[499, 272], [600, 269], [669, 243]]"
./training_data/set5/Sheep-002-Wm.jpg,"[[154, 46, 236, 197], [785, 231, 193, 141]]","[[162, 77], [791, 243]]","[[215, 97], [832, 262]]","[[225, 116], [849, 288]]","[[329, 112], [920, 288]]","[[336, 92], [924, 256]]","[[380, 53], [967, 240]]","[[276, 192], [891, 336]]","[[279, 213], [893, 350]]"
./training_data/set5/Sheep-3 copy.jpg,"[[194, 79, 174, 102]]","[[200, 92]]","[[247, 96]]","[[253, 107]]","[[309, 103]]","[[320, 94]]","[[361, 95]]","[[279, 149]]","[[279, 160]]"
./training_data/set5/sheep-on-farm-in-grass-field-on-sunny-March-day-at-Neals-Farm-Checkendon-Oxfordshire-England-3-DHD.jpg,"[[261, 499, 169, 123], [115, 396, 125, 82], [421, 359, 120, 84], [724, 318, 94, 66], [1133, 479, 147, 116], [1181, 276, 84, 67]]","[[270, 535], [121, 404], [428, 365], [731, 325], [1142, 494], [1188, 285]]","[[311, 548], [145, 414], [453, 376], [751, 329], [1173, 501], [1203, 291]]","[[321, 557], [153, 423], [457, 385], [755, 337], [1178, 520], [1208, 299]]","[[386, 542], [202, 424], [505, 385], [789, 337], [1240, 519], [1236, 301]]","[[388, 530], [209, 419], [509, 379], [795, 331], [1242, 500], [1242, 293]]","[[418, 508], [233, 404], [535, 363], [811, 324], [1274, 486], [1259, 288]]","[[363, 588], [176, 451], [476, 419], [770, 362], [1208, 571], [1221, 321]]","[[366, 602], [177, 463], [476, 430], [770, 372], [1209, 583], [1220, 332]]"
./training_data/set5/sheep-redorbit.jpg,"[[26, 40, 561, 353]]","[[38, 75]]","[[174, 122]]","[[197, 132]]","[[420, 138]]","[[440, 128]]","[[574, 97]]","[[311, 237]]","[[307, 280]]"
./training_data/set5/sheep-rustling-on-the-increase-in-wales-472477974.jpg,"[[189, 107, 135, 165]]","[[200, 117]]","[[216, 169]]","[[228, 193]]","[[285, 189]]","[[285, 176]]","[[319, 138]]","[[265, 247]]","[[261, 260]]"
./training_data/set5/sheep-with-lambs.jpg,"[[477, 376, 243, 176], [948, 74, 267, 271], [1029, 406, 208, 98]]","[[488, 396], [957, 88], [1063, 387]]","[[549, 451], [1004, 150], [1077, 409]]","[[559, 470], [1012, 174], [1081, 428]]","[[640, 467], [1141, 180], [1162, 444]]","[[656, 438], [1145, 143], [1178, 445]]","[[709, 388], [1205, 100], [1228, 418]]","[[592, 520], [1081, 289], [1119, 458]]","[[595, 533], [1078, 315], [1116, 472]]"
