imgName,faces,leftEarCorner,leftEarRoot,leftEye,rightEye,rightEarRoot,rightEarCorner,Nose,Mouth
./dataset/set9/CIMG2115_-_SHEEP_#16.jpg,"[[403, 218, 805, 775]]","[[405, 234]]","[[564, 371]]","[[564, 486]]","[[976, 558]]","[[996, 465]]","[[1192, 397]]","[[712, 906]]","[[708, 961]]"
./dataset/set9/CIMG2144_-_SHEEP_#15.jpg,"[[196, 248, 743, 572]]","[[207, 307]]","[[385, 357]]","[[387, 426]]","[[726, 424]]","[[780, 353]]","[[926, 281]]","[[476, 715]]","[[489, 767]]"
./dataset/set9/CIMG2258_-_SHEEP_#1.jpg,"[[342, 69, 829, 808]]","[[357, 127]]","[[513, 241]]","[[603, 309]]","[[967, 273]]","[[941, 189]]","[[1159, 93]]","[[1027, 760]]","[[1002, 824]]"
./dataset/set9/CIMG2484_-_SHEEP_#28.jpg,"[[513, 342, 578, 461]]","[[515, 369]]","[[661, 407]]","[[670, 481]]","[[921, 478]]","[[935, 409]]","[[1083, 385]]","[[807, 753]]","[[810, 783]]"
./dataset/set9/CIMG2528_-_SHEEP_#24.jpg,"[[388, 183, 649, 569]]","[[402, 238]]","[[567, 308]]","[[570, 375]]","[[881, 365]]","[[901, 295]]","[[1017, 209]]","[[711, 658]]","[[714, 704]]"
./dataset/set9/CIMG2546_-_SHEEP_#25.jpg,"[[510, 244, 564, 443]]","[[512, 305]]","[[634, 345]]","[[661, 384]]","[[911, 386]]","[[909, 324]]","[[1074, 258]]","[[834, 621]]","[[826, 654]]"
./dataset/set9/CIMG2814_-_SHEEP_#22.jpg,"[[83, 122, 958, 859]]","[[98, 139]]","[[376, 255]]","[[358, 368]]","[[744, 399]]","[[830, 267]]","[[1013, 214]]","[[354, 879]]","[[381, 943]]"
./dataset/set9/CIMG2828_-_SHEEP_#24.jpg,"[[411, 93, 568, 520]]","[[416, 197]]","[[560, 263]]","[[577, 303]]","[[838, 259]]","[[844, 211]]","[[965, 102]]","[[753, 508]]","[[754, 559]]"
./dataset/set9/CIMG2995_-_SHEEP_#2.jpg,"[[252, 211, 938, 665]]","[[254, 312]]","[[504, 325]]","[[505, 405]]","[[830, 422]]","[[908, 425]]","[[1194, 543]]","[[471, 800]]","[[475, 834]]"
./dataset/set9/CIMG3435_-_SHEEP_#36.jpg,"[[185, 206, 599, 438]]","[[188, 271]]","[[382, 337]]","[[415, 369]]","[[647, 330]]","[[650, 291]]","[[779, 216]]","[[610, 569]]","[[619, 612]]"
