imgName,faces,leftEarCorner,leftEarRoot,leftEye,rightEye,rightEarRoot,rightEarCorner,Nose,Mouth
./training_data/set9/Sheep%20on%20hillside%20BC%20news%20Sept%2009.jpg,"[[392, 352, 88, 60], [128, 325, 77, 68], [884, 329, 102, 64], [599, 336, 84, 69]]","[[394, 362], [131, 338], [897, 337], [604, 345]]","[[409, 364], [145, 343], [909, 341], [618, 354]]","[[421, 369], [153, 350], [923, 348], [625, 360]]","[[453, 368], [180, 350], [956, 351], [657, 360]]","[[462, 366], [187, 346], [967, 346], [660, 355]]","[[476, 362], [202, 340], [982, 341], [679, 349]]","[[443, 394], [162, 368], [937, 374], [650, 383]]","[[442, 402], [164, 376], [937, 382], [650, 393]]"
./training_data/set9/sheep-photos-2.jpg,"[[828, 121, 160, 124], [58, 435, 157, 105]]","[[840, 144], [71, 452]]","[[862, 154], [110, 461]]","[[866, 166], [114, 480]]","[[933, 170], [167, 474]]","[[943, 159], [176, 461]]","[[988, 145], [207, 450]]","[[894, 204], [141, 517]]","[[892, 223], [141, 530]]"
./training_data/set9/Sheep0003.jpg,"[[7, 92, 519, 336]]","[[18, 144]]","[[134, 182]]","[[159, 221]]","[[372, 209]]","[[395, 185]]","[[515, 119]]","[[246, 330]]","[[248, 375]]"
./training_data/set9/sheephome.jpg,"[[101, 61, 64, 53], [245, 50, 67, 62], [181, 35, 55, 63], [39, 47, 58, 63]]","[[104, 72], [248, 58], [188, 45], [43, 52]]","[[120, 78], [262, 63], [195, 56], [53, 66]]","[[123, 85], [267, 72], [200, 64], [52, 77]]","[[148, 84], [292, 72], [220, 64], [77, 77]]","[[149, 77], [295, 64], [222, 57], [81, 68]]","[[164, 71], [309, 56], [234, 53], [93, 61]]","[[133, 101], [279, 95], [209, 84], [60, 96]]","[[134, 108], [280, 102], [209, 90], [61, 102]]"
./training_data/set9/Shetland-sheep-Coconut_0597.jpg,"[[612, 326, 199, 157]]","[[621, 343]]","[[656, 363]]","[[669, 376]]","[[760, 376]]","[[771, 360]]","[[804, 343]]","[[712, 437]]","[[713, 456]]"
./training_data/set9/SX18002%20Sheep%20and%20lamb.jpg,"[[419, 224, 186, 123], [728, 353, 132, 88]]","[[426, 254], [731, 369]]","[[468, 249], [763, 377]]","[[480, 249], [771, 391]]","[[548, 244], [818, 391]]","[[558, 245], [826, 379]]","[[600, 246], [856, 369]]","[[522, 307], [792, 419]]","[[522, 327], [794, 429]]"
./training_data/set9/UllsHerdwicks%5B1%5D.jpg,"[[729, 360, 105, 89], [321, 482, 79, 74], [88, 579, 85, 63]]","[[737, 390], [325, 507], [93, 602]]","[[747, 382], [340, 504], [109, 599]]","[[760, 386], [347, 509], [116, 602]]","[[806, 386], [377, 502], [151, 597]]","[[809, 378], [382, 497], [153, 593]]","[[827, 370], [394, 492], [168, 589]]","[[798, 421], [366, 533], [142, 620]]","[[798, 432], [366, 543], [142, 627]]"
./training_data/set9/wallpaper-of-Sheep-608.jpg,"[[90, 134, 158, 129], [342, 35, 154, 136]]","[[98, 200], [349, 86]]","[[142, 187], [391, 93]]","[[148, 210], [403, 110]]","[[207, 190], [459, 97]]","[[210, 169], [465, 77]]","[[241, 149], [491, 41]]","[[187, 242], [435, 148]]","[[191, 253], [438, 157]]"
./training_data/set9/whitedorper2.jpg,"[[32, 25, 65, 48]]","[[38, 35]]","[[51, 40]]","[[56, 40]]","[[78, 43]]","[[84, 42]]","[[95, 40]]","[[55, 59]]","[[56, 64]]"
./training_data/set9/wicklow-mountains-sheep-58.4.jpg,"[[514, 278, 136, 181], [657, 250, 103, 157], [875, 222, 106, 147], [11, 269, 98, 127], [240, 183, 100, 110]]","[[520, 308], [664, 281], [902, 221], [11, 282], [251, 193]]","[[556, 335], [680, 300], [899, 253], [27, 297], [261, 210]]","[[551, 361], [689, 325], [898, 287], [32, 318], [262, 227]]","[[612, 368], [745, 326], [949, 290], [85, 317], [299, 230]]","[[630, 341], [743, 294], [958, 265], [86, 298], [312, 217]]","[[646, 287], [754, 256], [975, 229], [102, 276], [324, 191]]","[[554, 431], [715, 388], [914, 349], [58, 378], [263, 270]]","[[554, 444], [715, 395], [914, 355], [61, 387], [266, 281]]"
